entry_time,exit_time,direction,bars_held,size_factor,notional,beta,gross_pnl,slippage_spread_cost,commission,net_pnl,return_pct,capital_after
2022-09-19 15:40:00+00:00,2022-09-19 15:42:00+00:00,long,2,0.8057743436912435,83858.23371534009,0.901037864815201,-58.60586186758795,36.92385412944933,6.0,-64.60586186758795,-0.07704176322970856,104007.0047222898
2022-09-19 15:44:00+00:00,2022-09-19 15:46:00+00:00,long,2,0.7993630808790139,83139.35972780772,0.904680910377695,-40.195920479299616,36.60393654524975,6.0,-46.195920479299616,-0.055564440994664545,103960.8088018105
2022-09-19 15:48:00+00:00,2022-09-19 15:50:00+00:00,long,2,0.7929494276412201,82435.66383651395,0.8776741537710793,-31.37782043663109,36.292236956007,6.0,-37.37782043663109,-0.04534180801983789,103923.43098137388
2022-09-19 15:56:00+00:00,2022-09-19 16:00:00+00:00,long,3,0.7816878673724263,81235.68513385569,0.8675091713557743,-45.26006294369233,35.80701517231054,6.0,-51.26006294369233,-0.06310042545862551,103872.17091843019
2022-09-20 13:40:00+00:00,2022-09-20 13:42:00+00:00,long,2,0.9562562408197839,99328.41168824813,0.8257016090138537,24.49099909231244,43.77668622687547,6.0,18.49099909231244,0.01861602212099015,103890.6619175225
2022-09-20 13:45:00+00:00,2022-09-20 13:51:00+00:00,long,6,0.9539073568235358,99102.06670839146,0.742934945708494,24.382198631550757,43.726587979236434,6.0,18.382198631550757,0.018548754069519568,103909.04411615405
2022-09-20 14:01:00+00:00,2022-09-20 14:11:00+00:00,long,10,0.9981217922599376,103713.8813452326,0.8345709799544269,-14.477083940281418,45.73084191502009,6.0,-20.477083940281418,-0.019743821824697996,103888.56703221377
2022-09-20 14:13:00+00:00,2022-09-20 14:22:00+00:00,long,9,1.0,103888.56703221377,0.8846735188958983,-62.10210394967994,45.800276854647464,6.0,-68.10210394967994,-0.06555303042014511,103820.46492826409
2022-09-20 17:31:00+00:00,2022-09-20 19:14:00+00:00,long,103,1.0,103820.46492826409,0.9412107353217624,-56.59501613009209,45.752116937469495,6.0,-62.59501613009209,-0.06029159681893431,103757.869912134
2022-09-21 13:34:00+00:00,2022-09-21 13:42:00+00:00,long,8,1.0,103757.869912134,1.0774268698221725,106.41054000401722,45.54199839925707,6.0,100.41054000401722,0.09677390263413135,103858.28045213802
2022-09-21 18:01:00+00:00,2022-09-21 18:02:00+00:00,long,1,1.0,103858.28045213802,1.185846940022821,-24.65582870823247,45.57914499457666,6.0,-30.65582870823247,-0.029516980807668854,103827.62462342979
2022-09-21 18:24:00+00:00,2022-09-21 18:49:00+00:00,long,25,1.0,103827.62462342979,1.056854277192639,-325.59512026952,45.88732191839467,6.0,-331.59512026952,-0.31937080470845336,103496.02950316027
2022-09-22 13:31:00+00:00,2022-09-22 13:41:00+00:00,short,10,0.8422597954262113,87170.54463675691,1.1348897457981029,-328.37488850116904,38.29240295033921,6.0,-334.37488850116904,-0.3835870131298621,103161.6546146591
2022-09-22 13:42:00+00:00,2022-09-22 13:49:00+00:00,short,7,0.8267488278205682,85288.77702869973,0.9733478922592509,38.1963980125038,37.64946549968401,6.0,32.1963980125038,0.03774986479366411,103193.8510126716
2022-09-22 13:50:00+00:00,2022-09-22 14:03:00+00:00,short,13,0.8212904798039907,84752.12741101859,1.0033063197920697,28.744806248377863,37.36910710948402,6.0,22.744806248377863,0.026836855832625177,103216.59581891997
2022-09-22 14:04:00+00:00,2022-09-22 14:05:00+00:00,short,1,0.8080247523800655,83401.56427809612,0.9410404379279254,-92.92926830647647,36.818279942841585,6.0,-98.92926830647647,-0.11861800094852468,103117.6665506135
2022-09-22 14:06:00+00:00,2022-09-22 14:13:00+00:00,short,7,0.809569657780402,83480.93402049378,0.9661821012659848,60.72355439931488,36.87382642785671,6.0,54.72355439931488,0.0655521587550527,103172.39010501282
2022-09-22 14:14:00+00:00,2022-09-26 13:38:00+00:00,short,741,0.8084713234876598,83411.91877558485,0.9417649783610966,-880.334707474118,36.44288044905179,6.0,-886.334707474118,-1.0625995906637185,102286.0553975387
2022-09-28 18:45:00+00:00,2022-09-29 13:38:00+00:00,long,84,1.0,102286.0553975387,0.9416741534289937,229.3796452874912,45.38829875552887,6.0,223.3796452874912,0.21838719307271906,102509.4350428262
